,valid_time,latitude,longitude,site_name,horizon,GHI,Clear sky GHI,GHI_NWP_ens_000,GHI_NWP_ens_001,GHI_NWP_ens_002,GHI_NWP_ens_003,GHI_NWP_ens_004,GHI_NWP_ens_005,GHI_NWP_ens_006,GHI_NWP_ens_007,GHI_NWP_ens_008,GHI_NWP_ens_009,GHI_NWP_ens_010,GHI_NWP_ens_011,GHI_NWP_ens_012,GHI_NWP_ens_013,GHI_NWP_ens_014,GHI_NWP_ens_015,GHI_NWP_ens_016,GHI_NWP_ens_017,GHI_NWP_ens_018,GHI_NWP_ens_019,GHI_NWP_ens_020,GHI_NWP_ens_021,GHI_NWP_ens_022,GHI_NWP_ens_023,GHI_NWP_ens_024,GHI_NWP_ens_025,GHI_NWP_ens_026,GHI_NWP_ens_027,GHI_NWP_ens_028,GHI_NWP_ens_029,GHI_NWP_ens_030,GHI_NWP_ens_031,GHI_NWP_ens_032,GHI_NWP_ens_033,GHI_NWP_ens_034
157,2019-01-03 12:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 18:15:00,103.414,103.414,93.51162823890891,93.95289445298549,93.8430275244149,94.19622598538388,95.26578903901556,94.89546030187779,94.16558202844675,95.19130374970801,80.48224218623949,94.77224413416809,94.68849240274314,93.4570733284769,95.21847957431547,89.59219635626656,94.43001654899186,94.5603637669088,94.69680795112636,93.97640408682928,94.29932310522852,93.51981533326175,93.78683888530261,91.86706423259096,94.5898998568996,94.43439839128365,94.01362988921034,93.1541697360385,94.32528800006855,93.61194212994289,93.33921588306592,94.00589623054196,90.7851059850121,84.20402841376671,93.68945231189235,93.75463190045582,93.59685373452415
158,2019-01-03 12:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 18:30:00,100.5609,100.5609,91.11248922950642,91.40462841633278,91.42667737207631,91.52046687963237,92.87749396731795,92.3003196925784,91.7895020108997,92.7424540062332,76.90872774405199,92.30739324634061,92.32802541014145,91.02499922170901,92.90644776963009,87.50502497021094,91.86824252637186,92.34714187260876,92.11716751927578,91.57215829407211,91.97893497173067,91.292282864965,91.33880660421434,88.98961227947069,92.26552636065405,91.95889270284478,91.64496994833472,90.82074869231158,91.980836609347,91.1164219625498,90.91705697377898,91.48476549281415,90.35604217387261,80.62057768323098,91.35937678925534,91.37238908284245,91.07129423862071
159,2019-01-03 12:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 18:45:00,96.8605,96.8605,87.94467539638033,88.08790305289455,88.23917110654767,88.07762932614442,89.70454734078999,88.9296045453169,88.63826074472493,89.51130685402532,72.7157105965484,89.06443566251616,89.18728931805968,87.82565617072079,89.80806052611578,84.67550164755333,88.53412251448499,89.35068981166418,88.7632953862169,88.39522706582414,88.88063756197538,88.29121712887527,88.12100374834097,85.37151841035059,89.16075826546319,88.70859625862965,88.50229962021781,87.72001434310931,88.85891494192877,87.85401822516764,87.72840575069263,88.19394515557423,89.12773044060613,76.38464521405163,88.2571116403731,88.21882892231315,87.77982364906704
160,2019-01-03 13:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 19:00:00,92.3369,92.3369,84.27784878446505,84.41510460720875,84.56006558516722,84.40525924038468,85.96434340102354,85.22171161076305,84.94251530172087,85.77916001784328,69.68385106078931,85.35092098535617,85.46865229493059,84.16379202938157,86.06354063542989,81.14498224522342,84.8427190834588,85.62523985443023,85.06233666169501,84.70961483847375,85.17478629096524,84.60994156435285,84.44682517918106,81.8119787998425,85.44322744653878,85.00991819767022,84.81222303513246,84.06255490578512,85.15396938898411,84.19097153655602,84.07059643617006,84.51672531652564,85.41157670683866,73.19981056033113,84.57725809386699,84.54057156214496,84.11987048084059
161,2019-01-03 13:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 19:15:00,87.0208,87.0208,79.89122078922352,80.02133250182155,80.15874831941699,80.01199958236482,81.4899340420486,80.7859559365736,80.521291682669,81.31438937918014,66.05683475355954,80.90844001539786,81.02004345785247,79.78310064218253,81.583968100463,76.92141868820148,80.42668981726668,81.16848069811503,80.63487638924406,80.30051359448153,80.74147306072138,80.20602827402746,80.05140203083245,77.55369834150639,80.99594196255212,80.58518628510353,80.39778107594047,79.6871328699866,80.72173967008185,79.80886546698446,79.69475584196245,80.11766389425607,80.96593863107184,69.3897899810029,80.17504596498179,80.14026895242075,79.74146519250623
162,2019-01-03 13:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 19:30:00,80.9497,80.9497,74.81704602826787,74.93889388456668,75.06758193625105,74.9301537319232,76.31421933268118,75.65495337329405,75.40709888476823,76.14982413390837,61.86133091241229,75.76965805389095,75.87417316592146,74.71579297520599,76.40228095456045,72.03586659087736,75.3185055193365,76.01318263063266,75.51346942380846,75.20034319593559,75.61329576264262,75.11185897326915,74.96705359115063,72.62798792106527,75.85160244206192,75.4669353144044,75.29143287469475,74.62592045656521,75.59481570962569,74.73992138461159,74.63305926655653,75.02910692863514,75.82350472856866,64.9825983332679,75.08284446054758,75.05027625938853,74.67680194059584
163,2019-01-03 13:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 19:45:00,74.1755,74.1755,69.09424477527698,69.20677241510484,69.32561703962227,69.19870080204097,70.47689838508481,69.86806007900292,69.63916413071348,70.32507787482841,57.129520170733464,69.97399092897308,70.07051161666,69.00073662968862,70.55822412006685,66.52579944079503,69.557347325566,70.19888816305834,69.73739832267219,69.44822330998814,69.8295888842699,69.36650729920959,69.23277816864362,67.07262905111148,70.04966734116537,69.6944236355354,69.53234548394177,68.91773851453729,69.81252238172274,69.0230194424166,68.92433127262024,69.29008500868724,70.02371883882816,60.012039952444866,69.33971212417337,69.30963508448481,68.96472804297728
164,2019-01-03 14:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 20:00:00,66.7521,66.7521,62.76791086458229,62.87013536807733,62.97809846721396,62.86280279948244,64.02396741197312,63.47087491271526,63.262936892316844,63.88604773015036,51.89868767617019,63.567106634624416,63.65478979754232,62.68296441258052,64.09784688631939,60.43463479593639,63.18861131065046,63.7714120668448,63.35217666944694,63.089478792374095,63.435926176685065,63.01524477624961,62.893760010410375,60.931396173820914,63.6358540434786,63.313136785004914,63.16589866111468,62.60756568276314,63.420422299131545,62.70320699005815,62.61355480172735,62.94581978238542,63.61228141037335,54.51728124083415,62.99090299259245,62.96357983489122,62.65025280586989
165,2019-01-03 14:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 20:15:00,58.7378,58.7378,55.89257741528105,55.98360467581329,56.079741950311835,55.977075285999334,57.01105080153846,56.51854173270429,56.333380370112934,56.8882382626601,46.21392330469655,56.6042326357872,56.682311353142936,55.81693564101671,57.07683782841925,53.814878611837194,56.267196100635076,56.786159308659535,56.41284519669491,56.17892214224116,56.487421134500096,56.11281940860014,56.00464157400411,54.25722683384882,56.66544974208491,56.378081577300804,56.24697129937917,55.749795771531126,56.473615486606754,55.83496093153809,55.75512886754699,56.05099893710983,56.644459156249425,48.54568712343984,56.09114392173521,56.066813628022864,55.78780712637814
166,2019-01-03 14:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 20:30:00,50.2123,50.2123,48.53378258937283,48.612825236476986,48.696305115112374,48.607155503565636,49.504998208171166,49.07733269021715,48.91654960001912,49.39835512000431,40.12941628379572,49.15174156260125,49.21954046664615,48.46809978144749,49.56212374088923,46.729632795683486,48.85907912550855,49.309715841060274,48.98555211869305,48.78242728186281,49.050309417769505,48.72502760821277,48.631092424900984,47.11374162423857,49.20489884868825,48.955365463796866,48.84151711365545,48.4097995208515,49.03832141606433,48.483751869286884,48.41443046353714,48.671346395757844,49.18667187515304,42.15418099249409,48.70620590744909,48.68507893066652,48.44280631562435
